	KEGG	CAS	PUBCHEM	CHEBI	CHEMBL	SMILES
0	cpd:C03523		6331.0			B
1	cpd:C01636		4785.0	29171		B(C(C(C)C)NC(=O)C1=CC=CN1C(=O)C(C(C2=CC=CC=C2)C3=CC=CC=C3)NC(=O)OCC4=CC=CC=C4)(O)O
2	cpd:C01009		4254.0	27988		B(C(CCCOC)NC(=O)C1=CC=CN1C(=O)C(C(C2=CC=CC=C2)C3=CC=CC=C3)NC(N4CCOCC4)O)(O)O
3	cpd:C02533	15764-81-5	5540.0	4372	CHEMBL461278	B(C(CCCSC(=N)N)NC(=O)C1CCCN1C(=O)C(CC2=CC=CC=C2)NC(=O)CC)(O)O
4	cpd:C12933	26657-13-6	583322.0	32105		B(C1=C(C=CC=C1C)C)(O)O
5	cpd:C04794		7357.0	16126		B(CC)(CC)CC
6	cpd:C12369	117241-62-0	582759.0	32200		B(CC)(CC)N1C(=O)C2=CC=CC=C2C1=O
7	cpd:C12072		14224.0	29586		B(CCC)(CCC)CCC
8	cpd:C03564	2139-03-9	6356.0	17425 36761	CHEMBL18591	B(F)(F)F
9	cpd:C05693		8000.0	8735		B(F)(F)F.CCOCC
10	cpd:C07417	39809-25-1	9621.0	7956	CHEMBL1540	B(F)(F)F.COC
11	cpd:C05232		7628.0	15451		B(O)(O)O
12	cpd:C05231		7627.0	15512		B(O)(O)[O-].C1=CC=C(C=C1)[Hg+]
13	cpd:C05113	101-60-0	7538.0	8337		B(OC(C)CN)(OC(C)CN)OC(C)CN
14	cpd:C06227		8470.0	28163		B(OC)(OC)OC
15	cpd:C12025		14182.0	29468		B(OC1=CC=CC=C1)(OC2=CC=CC=C2)OC3=CC=CC=C3
16	cpd:C06789	127-18-4	9009.0	17300	CHEMBL114062	B(OCC)(OCC)OCC
17	cpd:C10529	18979-00-5	12712.0	9183		B(OCCCC)(OCCCC)OCCCC
18	cpd:C09948	81827-55-6	12134.0	6144		B(OCCCCC)(OCCCCC)OCCCCC
19	cpd:C07031		9243.0	28682		B(OCCN)(OCCN)OCCN
20	cpd:C03522		6330.0	7308	CHEMBL3098156	B.CNC
21	cpd:C12444		582834.0	32337		B1(C2CCCC1CCC2)OC(CCCC)CSC
22	cpd:C11628	2498-50-2	13793.0	10618	CHEMBL1562872	B1(N(B(N(B(N1Cl)C2=CC=CC=C2)Cl)C3=CC=CC=C3)Cl)C4=CC=CC=C4
23	cpd:C12893	546-93-0	583282.0	31793	CHEMBL1200736	B1(N(N=NN1C)C)Cl
24	cpd:C03517		6326.0			C#C
25	cpd:C12616	152-47-6	583006.0	32162	CHEMBL1525826	C#CC#CCCC=CC(=O)NCCC1=CC=CC=C1
26	cpd:C11893	1898-13-1	14055.0	29550		C#CC#N
27	cpd:C07908	128794-94-5	10110.0	8764	CHEMBL1456	C#CC(=O)O
28	cpd:C01558		4716.0	22868 3098		C#CC(C=CCCCCCCCC#CC=CCCCCCCCCCCCC(C#CC#CCO)O)O
29	cpd:C01559	12772-35-9	4717.0	65109		C#CC(C=CCCCCCCCC#CC=CCCCCCCCCCCCCCC(C#CC#CCO)O)O
30	cpd:C02546		5551.0	5500		C#CC(C=CCCCCCCCCCC=CC#CCCCCCCC(C#CC#CC#CCO)O)O
31	cpd:C02548	496-42-4	5552.0	28437		C#CC(C=CCCCCCCCCCC=CC#CCCCCCCCCC(C#CC#CC#CCO)O)O
