Kegg-id	Pubchem-id	Chembl-id	CAS-number
cpd:C00001	3303	CHEMBL1098659	7732-18-5
cpd:C00002	3304	CHEMBL14249	56-65-5
cpd:C00003	3305	CHEMBL1234613 CHEMBL1454168	53-84-9
cpd:C00004	3306		58-68-4
cpd:C00005	3307	CHEMBL1594246 CHEMBL407009	2646-71-1
cpd:C00006	3308	CHEMBL295069 CHEMBL4299863	53-59-8
cpd:C00007	3309	CHEMBL1234886	7782-44-7
cpd:C00008	3310	CHEMBL14830	58-64-0
cpd:C00009	3311	CHEMBL1187	7664-38-2
cpd:C00010	3312	CHEMBL1213327 CHEMBL1623949	85-61-0
cpd:C00011	3313	CHEMBL1231871	124-38-9
cpd:C00012	3314		
cpd:C00013	3315	CHEMBL1160571	2466-09-3
cpd:C00014	3316	CHEMBL1160819	7664-41-7
cpd:C00015	3317	CHEMBL130266	58-98-0
cpd:C00016	3318	CHEMBL1232653	146-14-5
cpd:C00017	3319		
cpd:C00018	3320	CHEMBL82202	54-47-7
cpd:C00019	3321	CHEMBL1088977 CHEMBL224120	29908-03-0
cpd:C00020	3322	CHEMBL752	61-19-8
cpd:C00021	3323	CHEMBL142828 CHEMBL418052	979-92-0
cpd:C00022	3324	CHEMBL1162144	127-17-3
cpd:C00023	3325		7439-89-6
cpd:C00024	3326		72-89-9
cpd:C00025	3327	CHEMBL575060	56-86-0
cpd:C00026	3328	CHEMBL1686	328-50-7
cpd:C00027	3329	CHEMBL71595	7722-84-1
cpd:C00028	3330		
cpd:C00029	3331	CHEMBL375951	133-89-1
cpd:C00030	3332		
cpd:C00031	3333	CHEMBL1222250 CHEMBL1614854 CHEMBL423707 CHEMBL98182	50-99-7 2280-44-6
cpd:C00032	3334		14875-96-8
cpd:C00033	3335	CHEMBL539	64-19-7
cpd:C00034	3336		7439-96-5
cpd:C00035	3337	CHEMBL384759	146-91-8
cpd:C00036	3338	CHEMBL1794791	328-42-7
cpd:C00037	3339	CHEMBL773	56-40-6
cpd:C00038	3340	CHEMBL1236970	23713-49-7
cpd:C00039	3341		9007-49-2
cpd:C00040	3342		9029-97-4
cpd:C00041	3343	CHEMBL279597	56-41-7
cpd:C00042	3344	CHEMBL576	110-15-6
cpd:C00043	3345	CHEMBL388154	528-04-1
cpd:C00044	3346	CHEMBL1233147	86-01-1
cpd:C00045	3347		
cpd:C00046	3348		
cpd:C00047	3349	CHEMBL8085	56-87-1
cpd:C00048	3350	CHEMBL1162545	298-12-4
cpd:C00049	3351	CHEMBL274323	56-84-8
cpd:C00050	3352		
cpd:C00051	3353	CHEMBL1514919 CHEMBL1543	70-18-8
cpd:C00052	3354	CHEMBL439009	2956-16-3
cpd:C00053	3355		482-67-7
cpd:C00054	3356	CHEMBL574817	1053-73-2
cpd:C00055	3357	CHEMBL307679	63-37-6
cpd:C00058	3358	CHEMBL116736	64-18-6
cpd:C00059	3359	CHEMBL572964	7664-93-9
cpd:C00060	3360		
cpd:C00061	3361	CHEMBL1201794	146-17-8
cpd:C00062	3362	CHEMBL1485	74-79-3
cpd:C00063	3363	CHEMBL223533	65-47-4
cpd:C00064	3364	CHEMBL930	56-85-9
cpd:C00065	3365	CHEMBL11298	56-45-1
cpd:C00066	3366		
cpd:C00067	3367	CHEMBL1255	50-00-0
cpd:C00068	3368	CHEMBL1236235 CHEMBL1236376	
cpd:C00069	3369		
cpd:C00070	3370		7440-50-8
cpd:C00071	3371		
cpd:C00072	3372	CHEMBL196	50-81-7
cpd:C00073	3373	CHEMBL42336	63-68-3
cpd:C00074	3374	CHEMBL1235228	138-08-9
cpd:C00075	3375	CHEMBL336296	63-39-8
cpd:C00076	3376		14127-61-8
cpd:C00077	3377	CHEMBL446143	70-26-8
cpd:C00078	3378	CHEMBL54976	73-22-3
cpd:C00079	3379	CHEMBL301523	63-91-2
cpd:C00080	3380		
cpd:C00081	3381	CHEMBL1233686	132-06-9
cpd:C00082	3382	CHEMBL925	60-18-4
cpd:C00083	3383	CHEMBL1234355	524-14-1
cpd:C00084	3384	CHEMBL170365	75-07-0
cpd:C00085	3385	CHEMBL604196	643-13-0
cpd:C00086	3386	CHEMBL985	57-13-6
cpd:C00087	3387	CHEMBL2105487	10544-50-0)
cpd:C00088	3388	CHEMBL1161681	
cpd:C00089	3389	CHEMBL253582	57-50-1
cpd:C00090	3390	CHEMBL280998	120-80-9
cpd:C00091	3391		604-98-8
cpd:C00092	3392	CHEMBL257975 CHEMBL4283156	56-73-5
cpd:C00093	3393	CHEMBL1232920	17989-41-2
cpd:C00094	3394	CHEMBL1161699	
cpd:C00095	3395	CHEMBL604608	57-48-7
cpd:C00096	3396		3123-67-9
cpd:C00097	3397	CHEMBL863	52-90-4
cpd:C00098	3398		
cpd:C00099	3399	CHEMBL297569	107-95-9
cpd:C00100	3400		317-66-8
cpd:C00101	3401	CHEMBL2021342	135-16-0
cpd:C00102	3402	CHEMBL500871	956-48-9
cpd:C00103	3403		59-56-3
cpd:C00104	3404	CHEMBL1233551	86-04-4
cpd:C00105	3405	CHEMBL214393	58-97-9
cpd:C00106	3406	CHEMBL566	66-22-8
cpd:C00107	3407		
cpd:C00108	3408	CHEMBL14173	118-92-3
