Name	CAS-number	MW
1-Amino-2-naphthol-4-sulfonic acid	116-63-2	239.25
1,2-Naphthoquinone-4-sulfonic acid sodium salt	521-24-4	260.20
1,2,4-Benzenetricarboxylic acid	528-44-9	210.14
1,3,5-Benzenetricarboxylic acid	554-95-0	210.14
1,4-Benzodioxan-6-carboxaldehyde	29668-44-8	164.16
1,4-Benzoquinone	106-51-4	108.09
1,4-Naphthoquinone	130-15-4	158.15
2-Acetamidobenzoic acid	89-52-1	179.17
2-Acetyl-1-methylpyrrole	932-16-1	123.15
2-Acetyl-5-methylfuran	1193-79-9	124.14
2-Acetylthiophene	88-15-3	126.18
2-Amino-3,5-dibromobenzaldehyde	50910-55-9	278.93
2-Amino-6-mercaptopurine (Thioguanine)a	154-42-7	167.19
2-Aminonicotinic acid	5345-47-1	138.12
2-Aminopyrimidine	109-12-6	95.10
2-Anilino-1,4-naphthoquinone	6628-97-3	249.27
2-Anisaldehyde	135-02-4	136.15
2-Anisic acid	579-75-9	152.15
2-Benzoylbenzoic acid	85-52-9	226.23
2-Biphenylcarboxaldehyde	1203-68-5	182.22
2-Biphenylcarboxylic acid	947-84-2	198.22
2-Carbethoxy-5,7-dihydroxy-4'-methoxyisofavone	15485-76-4	356.33
2-Carboxybenzaldehyde	119-67-5	150.13
2-Chloro-3-nitrobenzoic acid	3970-35-2	201.56
2-Chloro-4-nitrobenzoic acid	99-60-5	201.56
2-Cis,4-trans-abscisic acid	14375-45-2	264.32
2-furyl methyl ketone	1192-62-7	110.11
2-Hydroxy-1-naphthaldehyde	708-06-5	172.18
2-Hydroxy-1,4-naphthoquinone	83-72-7	174.15
2-Hydroxy-4-methoxybenzaldehyde	673-22-3	152.15
2-Hydroxy-5-methoxybenzaldehyde	672-13-9	152.15
2-Hydroxyphenylacetic acid	614-75-5	152.15
2-Methyl-1,4-naphthoquinone (Menadione)a	58-27-5	172.18
2-Pyrazinecarboxylic acid	98-97-5	124.10
